ts,open,high,low,close,kvwapd1,kvwaph4,kvwaph1,kvwapm30,kvwapm15,kvwapm5,kvwapm1,fair_price,breakout_price,breakout_coc,breakout_rev
2020-05-29,9569.58,9598,9317.42,9422.26,9491.081458,9489.522432,9477.244452,9467.537435,9461.040415,9456.114238,9453.923184,,,,
2020-05-30,9422.11,9753,9326.01,9695,9456.497783,9458.161466,9471.751664,9483.353756,9491.795551,9499.631454,9504.156047,,,,
2020-05-31,9694.38,9698,9371.76,9446.43,9596.774861,9595.080414,9581.532564,9569.708058,9560.470977,9552.680129,9548.916887,,,,
2020-06-01,9446.49,10497.25,9420.85,10232.48,9528.866471,9529.770286,9537.301036,9545.340083,9554.498751,9567.8459,9578.847793,,9958.67,TRUE,FALSE
2020-06-02,10232.41,10262.3,9264.15,9514.9,10077.07077,10069.78694,10013.36708,9965.64396,9929.435687,9902.207769,9890.693397,,,,
2020-06-03,9514.9,9694.75,9382.33,9663.59,9521.927705,9522.956738,9531.27251,9537.953261,9542.331039,9545.583055,9547.430629,,,,
2020-06-04,9663.58,9884,9440,9788.33,9651.80903,9653.498611,9666.345633,9677.061041,9685.275083,9691.703471,9694.521459,,,,
2020-06-05,9788.32,9855,9580.52,9617.29,9776.927922,9775.423814,9763.664305,9754.367161,9747.984303,9742.966395,9740.602709,,,,
2020-06-06,9616.64,9738.77,9528,9664,9615.093481,9615.906534,9622.443825,9627.802844,9631.680783,9634.805352,9636.037561,,,,
2020-06-07,9664.01,9823.13,9373,9743.92,9639.500768,9637.610215,9623.477575,9614.938199,9613.310068,9615.787844,9617.296894,,9382.33,TRUE,FALSE
2020-06-08,9743.92,9816,9631,9778.87,9730.876797,9730.372983,9726.490771,9723.423556,9721.300538,9719.863124,9719.720688,,,,
2020-06-09,9778.87,9890,9550.03,9771.66,9701.297845,9701.565542,9703.53536,9705.146158,9706.490683,9707.382844,9706.967272,,9884,TRUE,FALSE
2020-06-10,9771.66,10015.99,9681.21,9884.99,9764.754102,9765.2023,9768.683702,9772.402372,9776.490139,9780.606179,9782.531592,,,,
2020-06-11,9884.99,9970.1,9055.07,9278.03,9822.239782,9815.419305,9762.339499,9717.996661,9685.282985,9661.350564,9651.480065,,9373,TRUE,FALSE
2020-06-12,9277.72,9550,9238,9458.91,9376.361322,9377.619994,9388.133122,9397.071318,9403.656746,9409.552083,9412.442714,,,,
2020-06-13,9458.77,9497.85,9340,9468.54,9424.201325,9424.303056,9424.905192,9424.952776,9424.452713,9423.81653,9423.677706,,,,
2020-06-14,9468.55,9477,9240.97,9339.61,9426.991886,9426.216949,9420.070752,9414.774147,9410.58327,9406.970003,9405.300625,,,,
2020-06-15,9339.7,9490.83,8888.43,9422.01,9217.111328,9218.255774,9226.235701,9232.843529,9238.57208,9242.743821,9244.30424,,,,
2020-06-16,9422.01,9595,9370,9519.12,9469.354533,9469.937286,9474.870841,9479.720007,9484.153052,9488.112715,9489.675273,,,,
2020-06-17,9519.13,9569,9231.03,9458.45,9467.042355,9466.175433,9459.486119,9453.708397,9449.15924,9446.000904,9444.900141,,,,
2020-06-18,9458.45,9483.85,9272.41,9381.59,9420.635259,9420.234163,9417.186239,9414.408813,9411.857227,9409.660282,9408.871939,,,,
2020-06-19,9381.99,9453,9239,9307,9332.392977,9332.742915,9335.187286,9335.853402,9334.661745,9332.773543,9331.584448,,,,
2020-06-20,9307,9394.29,9165,9354.04,9307.251377,9306.845213,9303.777701,9301.899578,9301.695079,9302.801523,9303.529315,,,,
2020-06-21,9353.84,9420.47,9279,9293.51,9361.16952,9360.758902,9357.614381,9355.065413,9353.116388,9351.291532,9350.254023,,,,
2020-06-22,9293.39,9795,9273,9686.99,9397.15139,9400.028527,9422.82631,9442.835276,9459.151942,9473.234309,9479.521313,,9595,TRUE,FALSE
2020-06-23,9686.99,9723.23,9585,9631.66,9648.891883,9648.967647,9649.174717,9648.808466,9647.846307,9645.877155,9644.525075,,,,
2020-06-24,9631.65,9678,9210,9298.4,9573.50736,9568.258679,9527.714233,9496.220203,9475.678537,9461.492704,9456.012288,,,,
2020-06-25,9298.78,9350.9,9005,9246.75,9231.730052,9232.280471,9236.379791,9238.89097,9239.422431,9238.764312,9238.186866,,9165,TRUE,FALSE
2020-06-26,9246.75,9297.16,9038.52,9159.99,9218.387844,9217.074594,9206.696996,9198.481934,9193.368462,9190.240757,9189.11521,,,,
2020-06-27,9159.99,9195.75,8816.4,9008,9144.561052,9143.582377,9136.043115,9129.051053,9122.56938,9116.850972,9114.501238,,,,
2020-06-28,9008,9188,8932.68,9114,9005.956737,9008.308758,9026.529578,9040.685629,9049.532287,9054.763064,9056.59487,,,,
2020-06-29,9114.01,9233,9022,9189.48,9108.111798,9108.354869,9110.184245,9112.407086,9115.31951,9118.53215,9119.811315,,,,
2020-06-30,9189.99,9205,9063.97,9138.87,9162.113952,9161.79389,9159.134743,9156.777141,9154.998679,9153.519859,9152.778187,,,,
2020-07-01,9138.88,9293,9090,9233.29,9149.039446,9150.691736,9163.534156,9173.986039,9181.243054,9186.200278,9188.118475,,,,
2020-07-02,9233.29,9262.99,8936,9087.72,9213.721667,9211.770904,9196.550482,9183.863123,9174.880698,9169.012372,9166.676594,,,,
2020-07-03,9087.72,9124.52,9036.06,9057.52,9095.833133,9095.634748,9094.207989,9093.136464,9092.449095,9092.06673,9091.86652,,,,
2020-07-04,9058.07,9194,9042.84,9137.18,9077.182446,9077.552144,9080.524444,9083.580423,9086.560622,9089.066517,9090.144101,,,,
2020-07-05,9137.18,9146.35,8900,9071.86,9096.055763,9094.621388,9083.303813,9074.315342,9068.467154,9064.774637,9063.657648,,,,
